sale_id,sale_datetime,product_id,qty,branch_id,channel
2025-11-13-0,2025-11-13T01:00:00,8,2,5,ecommerce
2025-11-13-1,2025-11-13T00:08:00,16,2,4,retail
2025-11-13-2,2025-11-13T03:25:00,46,2,4,retail
2025-11-13-3,2025-11-13T01:59:00,13,1,2,retail
2025-11-13-4,2025-11-13T23:51:00,13,4,5,retail
2025-11-13-5,2025-11-13T02:44:00,6,4,3,retail
2025-11-13-6,2025-11-13T00:27:00,14,1,1,retail
2025-11-13-7,2025-11-13T03:39:00,49,7,4,retail
2025-11-13-8,2025-11-13T20:07:00,30,3,1,retail
2025-11-13-9,2025-11-13T21:30:00,49,1,4,retail
2025-11-13-10,2025-11-13T12:06:00,44,1,1,ecommerce
2025-11-13-11,2025-11-13T03:21:00,38,1,3,ecommerce
2025-11-13-12,2025-11-13T17:52:00,22,6,1,retail
2025-11-13-13,2025-11-13T07:01:00,29,1,3,retail
2025-11-13-14,2025-11-13T11:31:00,34,3,4,retail
2025-11-13-15,2025-11-13T19:03:00,34,3,4,retail
2025-11-13-16,2025-11-13T16:05:00,9,3,1,retail
2025-11-13-17,2025-11-13T15:58:00,8,1,4,retail
2025-11-13-18,2025-11-13T14:33:00,2,1,5,ecommerce
2025-11-13-19,2025-11-13T05:16:00,9,2,2,ecommerce
2025-11-13-20,2025-11-13T08:34:00,31,1,2,ecommerce
2025-11-13-21,2025-11-13T11:33:00,15,3,1,ecommerce
2025-11-13-22,2025-11-13T14:18:00,36,5,1,retail
2025-11-13-23,2025-11-13T09:47:00,36,1,1,ecommerce
2025-11-13-24,2025-11-13T12:00:00,30,4,1,retail
2025-11-13-25,2025-11-13T22:13:00,17,1,3,retail
2025-11-13-26,2025-11-13T04:36:00,14,6,2,retail
2025-11-13-27,2025-11-13T13:20:00,38,1,1,ecommerce
2025-11-13-28,2025-11-13T20:33:00,43,3,4,ecommerce
2025-11-13-29,2025-11-13T13:35:00,43,1,4,retail
2025-11-13-30,2025-11-13T13:16:00,29,2,4,retail
2025-11-13-31,2025-11-13T08:23:00,37,1,3,retail
2025-11-13-32,2025-11-13T03:03:00,21,3,4,ecommerce
2025-11-13-33,2025-11-13T04:57:00,25,3,1,retail
2025-11-13-34,2025-11-13T16:23:00,1,3,5,ecommerce
2025-11-13-35,2025-11-13T05:20:00,19,4,2,retail
2025-11-13-36,2025-11-13T21:09:00,35,4,3,ecommerce
2025-11-13-37,2025-11-13T17:10:00,5,1,2,retail
2025-11-13-38,2025-11-13T00:20:00,20,5,5,retail
2025-11-13-39,2025-11-13T00:31:00,21,1,2,retail
2025-11-13-40,2025-11-13T05:01:00,7,2,4,ecommerce
2025-11-13-41,2025-11-13T18:46:00,25,3,3,ecommerce
2025-11-13-42,2025-11-13T08:21:00,15,1,3,retail
2025-11-13-43,2025-11-13T10:34:00,36,1,1,retail
2025-11-13-44,2025-11-13T00:06:00,21,3,3,ecommerce
2025-11-13-45,2025-11-13T14:21:00,17,3,2,ecommerce
2025-11-13-46,2025-11-13T17:15:00,38,3,1,ecommerce
2025-11-13-47,2025-11-13T16:07:00,16,1,5,ecommerce
2025-11-13-48,2025-11-13T10:57:00,48,3,2,retail
2025-11-13-49,2025-11-13T15:19:00,32,1,3,retail
2025-11-13-50,2025-11-13T04:34:00,15,1,4,retail
2025-11-13-51,2025-11-13T11:39:00,24,1,3,retail
2025-11-13-52,2025-11-13T12:50:00,41,5,5,ecommerce
2025-11-13-53,2025-11-13T05:29:00,15,3,4,retail
2025-11-13-54,2025-11-13T05:14:00,19,3,3,ecommerce
2025-11-13-55,2025-11-13T14:25:00,50,1,4,ecommerce
2025-11-13-56,2025-11-13T04:49:00,3,1,1,ecommerce
2025-11-13-57,2025-11-13T06:56:00,4,4,5,ecommerce
2025-11-13-58,2025-11-13T04:10:00,24,1,4,retail
2025-11-13-59,2025-11-13T16:25:00,43,4,1,retail
2025-11-13-60,2025-11-13T03:20:00,32,1,5,retail
2025-11-13-61,2025-11-13T06:20:00,29,8,3,retail
2025-11-13-62,2025-11-13T10:17:00,33,4,2,ecommerce
2025-11-13-63,2025-11-13T01:42:00,11,1,5,retail
2025-11-13-64,2025-11-13T11:20:00,17,3,5,ecommerce
2025-11-13-65,2025-11-13T05:02:00,29,1,2,ecommerce
2025-11-13-66,2025-11-13T01:33:00,29,1,1,ecommerce
2025-11-13-67,2025-11-13T22:16:00,25,3,2,retail
2025-11-13-68,2025-11-13T16:19:00,5,4,3,retail
2025-11-13-69,2025-11-13T18:43:00,26,1,4,ecommerce
2025-11-13-70,2025-11-13T23:36:00,9,2,5,ecommerce
2025-11-13-71,2025-11-13T17:12:00,31,3,5,retail
2025-11-13-72,2025-11-13T13:52:00,43,1,5,ecommerce
2025-11-13-73,2025-11-13T20:11:00,44,1,2,retail
2025-11-13-74,2025-11-13T01:57:00,45,2,2,ecommerce
2025-11-13-75,2025-11-13T00:12:00,23,4,1,retail
2025-11-13-76,2025-11-13T16:11:00,13,1,3,ecommerce
2025-11-13-77,2025-11-13T14:38:00,17,1,1,ecommerce
2025-11-13-78,2025-11-13T06:32:00,44,2,4,retail
2025-11-13-79,2025-11-13T16:10:00,33,1,5,ecommerce
2025-11-13-80,2025-11-13T17:03:00,46,2,4,retail
2025-11-13-81,2025-11-13T20:01:00,46,4,1,retail
2025-11-13-82,2025-11-13T17:59:00,17,3,2,ecommerce
2025-11-13-83,2025-11-13T04:26:00,30,4,2,retail
2025-11-13-84,2025-11-13T02:02:00,46,5,2,ecommerce
2025-11-13-85,2025-11-13T03:31:00,7,7,1,ecommerce
2025-11-13-86,2025-11-13T12:39:00,42,4,1,ecommerce
2025-11-13-87,2025-11-13T03:38:00,28,1,2,retail
2025-11-13-88,2025-11-13T10:03:00,11,1,1,ecommerce
2025-11-13-89,2025-11-13T09:09:00,36,1,4,retail
2025-11-13-90,2025-11-13T01:06:00,24,3,4,retail
2025-11-13-91,2025-11-13T07:04:00,38,3,2,retail
2025-11-13-92,2025-11-13T01:00:00,12,2,5,retail
2025-11-13-93,2025-11-13T03:15:00,18,1,2,ecommerce
